[Mastercad Black]|Opening Balance|undefined
[Residencia Lorian]|Outros|INT PAG TIT 109260039420 - matl
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|RSHOP-YOGOBERRY-S-19/07
A1. Residência Villas:Gás|Ultragaz|CH COMPENSADO 237 000839
C1. Lazer-Estetica-Vestuario-Celular:Cinema-Locadora-Esportes-Diversao|Fiel Torcedor|INT PAG TIT 175031639331
G. Reembolsáveis:Empréstimos|Marcelo Manes|INT PAG TIT 175031641170
E1. Extraordinárias (Ongoing):Residencia Moveis-Eletro-Serviços|IG Lavanderia|CH COMPENSADO 237 000840
[Residencia Lorian]|Outros|INT PAG TIT 157386824696 - andaime
E2. Extraordinárias (One Time):Pagamento de Empréstimos|Outros|INT PAG TIT 109254759018 - BM SUA CASA
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|RSHOP-RA TANCREDO-26/07
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|RSHOP-EXTRA CAP  -29/07
A4. Funcionários:Diarista - Diárias|Neiva|5 x R$ 80 + 4 x (R$ 6,75 + R$ 6,75)
[Residencia Lorian]|Outros|INT ELET.PAULO 960974100 - ELETROPAULO LOTE 27
B2. Educação (Mensal):Cursos Marina-Felipe|Colegio Sto Americo|INT PAG TIT 173600673326
A1. Residência Villas:Condomínio Villas|Vilas São Francisco|INT PAG TIT 175065868409
B1. Alimentação-Drogaria-Vet:Mercado-Padaria-Vinhos|Supermercado|INT PAG TIT BANCO 237 - VINHOS JULIA KEMPER
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|RSHOP-GRAO EXPRES-05/08
E2. Extraordinárias (One Time):Pagamento de Empréstimos|Outros|INT PAG TIT BANCO 104 - BM SUA CASA PARC 1
[Residencia Lorian]|JMAR|INT PAG TIT 157341245668 - NF 3481/3640/4306/4461/4843/4896/5364/5790
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|RSHOP-PAES DOCES -06/08
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|RSHOP-IRMAOS VILA-07/08
[Residencia Lorian]|Jorge Kluwe|TBI 0767.04464-7JK-JUL
[Residencia Lorian]|Outros|INT TED   884206 LORIAN - LONGARINAS 2-2
[Residencia Lorian]|Outros|INT PAG TIT 157428039489 -  PISOS
[Investmentos (Cash)]|Transferencias|RESG OPER COMPROMISSADA
E1. Extraordinárias (Ongoing):Residencia Moveis-Eletro-Serviços|IG Lavanderia|CH COMPENSADO 237 000841
E1. Extraordinárias (Ongoing):Saques|Saque|CXE     000232 SAQUE
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|RSHOP-GH FERNANDE-13/08
C1. Lazer-Estetica-Vestuario-Celular:Cinema-Locadora-Esportes-Diversao|Fiel Torcedor|INT PAG TIT 175032265409
E1. Extraordinárias (Ongoing):Residencia Moveis-Eletro-Serviços|Outros|INT PAG TIT 176000379215 - CABO NOTEBOOK
[Residencia Lorian]|Aldeia/Aldeia Cores|INT PAG TIT 109260040717 - ALDEIA
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|RSHOP-GH FERNANDE-14/08
E1. Extraordinárias (Ongoing):Saques|Saque|SAQUE 24H 02560159
C1. Lazer-Estetica-Vestuario-Celular:Cinema-Locadora-Esportes-Diversao|Fiel Torcedor|INT PAG TIT 175032418834
[Residencia Lorian]|Alserv|INT PAG TIT 157411337326 - ALSERV
E1. Extraordinárias (Ongoing):Saques|Saque|CXE     001115 SAQUE
[Residencia Lorian]|Outros|INT PAG TIT 112363305197 - TIJOLO
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|RSHOP-BRIGADEIRO -22/08
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|RSHOP-CALFER PART-22/08
B1. Alimentação-Drogaria-Vet:Drogaria|Drogaria|RSHOP-DROGARIA SA-22/08
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|RSHOP-IRMAOS VILA-22/08
[Residencia Lorian]|FPS DECOR|INT TED   592016 FPS
[Residencia Lorian]|FPS DECOR|INT TED   604292 fps
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Tuhu|RSHOP-TUHU RESTAU-23/08
[Residencia Lorian]|VEC/REMAT|INT PAG TIT 109260041095 - VEC VIAPLUS
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|RSHOP-GRAO EXPRES-26/08
[Residencia Lorian]|Outros|DOC INT 571002  CACAMBA
[Residencia Lorian]|Outros|DOC INT 571365  CACAMBA
[Residencia Lorian]|BM Portas|INT TED   568008 BM-3/3 PORTAS
E2. Extraordinárias (One Time):Investimentos na Empresa|Telefônica|INT TELEFONICA 963801201
A1. Residência Villas:Gás|Ultragaz|CH COMPENSADO 237 000843
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|RSHOP-LANCHES BUR-28/08
E1. Extraordinárias (Ongoing):Saques|Saque|SAQUE S/CARTAO CXE000034
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|RSHOP-GRAO EXPRES-29/08
B2. Educação (Mensal):Escola Felipe|Escola Fadelito|INT PAG TIT BANCO 237 - PAGTO EM 10-09
B2. Educação (Mensal):Cursos Marina-Felipe|Colegio Sto Americo|INT PAG TIT 173600688597
B2. Educação (Mensal):Cursos Marina-Felipe|Colegio Sto Americo|INT PAG TIT 173600688605 - INGLES
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|RSHOP-CASA P D FI-31/08
A4. Funcionários:Diarista - Diárias|Neiva|TBI 0568.06585-8neiva
[Residencia Lorian]|Outros|INT PAG TIT 157428039497 - PISOS
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|RSHOP-CASA P D FI-02/09
[Residencia Lorian]|Jorge Kluwe|TBI 0767.04464-7JK-AGO
[Residencia Lorian]|Adelson Gesseiro|TBI 9274.05199-5GESSO
[Residencia Lorian]|BM Portas|INT TED   804108BM PORTA e venezianas
[Residencia Lorian]|Liliana Guastavino|INT TED   808069 LG-AGO
C1. Lazer-Estetica-Vestuario-Celular:Cinema-Locadora-Esportes-Diversao|Fiel Torcedor|INT PAG TIT 175032941967
[Residencia Lorian]|Outros|INT ELET.PAULO 381065100 - lote 27
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|RSHOP-RESTAURANTE-03/09
G. Reembolsáveis:Médicos-Clinicas-Exames|Marcelo Silber|CH COMPENSADO 422 000844
E1. Extraordinárias (Ongoing):Residencia Moveis-Eletro-Serviços|Outros|PAGAMENTO CHEQUE  000846 - MANUT AQUECEDOR
E1. Extraordinárias (Ongoing):Saques|Saque|SAQUE S/CARTAO CXE000299
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|RSHOP-PAES DOCES -05/09
A1. Residência Villas:Condomínio Villas|Vilas São Francisco|INT PAG TIT 175066036402
[Residencia Lorian]|JMAR|INT PAG TIT 157341247086 - NF 3481/3640/4306/4461/4843/4896/5364/5790
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|RSHOP-GRAO EXPRES-06/09
[Residencia Lorian]|Outros|DOC INT 868860  GRAMA
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|RSHOP-GRAO EXPRES-11/09
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|RSHOP-CONDESSA SU-14/09
B1. Alimentação-Drogaria-Vet:Drogaria|Drogaria|RSHOP-DROGARIA SA-13/09
[Residencia Lorian]|Outros|INT TED   542700 CALHAS -
G. Reembolsáveis:Despesas de Trabalho|Taxi|CH COMPENSADO 341 000847
C1. Lazer-Estetica-Vestuario-Celular:Cinema-Locadora-Esportes-Diversao|Fiel Torcedor|INT PAG TIT 175033246861
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|RSHOP-IRMAOS VILA-16/09
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|RSHOP-RESTAURANTE-16/09
E1. Extraordinárias (Ongoing):Residencia Moveis-Eletro-Serviços|IG Lavanderia|CH COMPENSADO 237 000861 - ig
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|RSHOP-GRAO EXPRES-17/09
E1. Extraordinárias (Ongoing):Saques|Saque|CXE     000075 SAQUE
[Residencia Lorian]|Outros|TBI 0641.10176-1Banheira
[Residencia Lorian]|FPS DECOR|DOC INT 600172  Fps
E1. Extraordinárias (Ongoing):Saques|Saque|SAQUE S/CARTAO CXE001297
G. Reembolsáveis:Médicos-Clinicas-Exames|Janice Nazareth|CH COMPENSADO 341 000845
A1. Residência Villas:Gás|Ultragaz|CH COMPENSADO 237 000862
C1. Lazer-Estetica-Vestuario-Celular:Cinema-Locadora-Esportes-Diversao|Outros|INT PAG TIT BANCO 033 - CORRIDA
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|RSHOP-FRA CAFE VE-24/09
F. Automóveis:Multas|Governo|INT SP-MULTA 0284967853
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|RSHOP-LANCHES BUR-25/09
[Residencia Lorian]|Outros|INT PAG TIT BANCO 237 - ENGEFURO
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|RSHOP-GH FERNANDE-26/09
E1. Extraordinárias (Ongoing):Saques|Saque|SAQUE S/CARTAO CXE002253
B2. Educação (Mensal):Cursos Marina-Felipe|Colegio Sto Americo|ginastica
E1. Extraordinárias (Ongoing):Residencia Moveis-Eletro-Serviços|IG Lavanderia|CH COMPENSADO 237 000848
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|RSHOP-PAES DOCES -30/09
[Residencia Lorian]|Outros|TBI 6996.08467-6 TERRAJ
[Residencia Lorian]|Aldeia/Aldeia Cores|INT PAG TIT 109260041913 - aldeia
[Residencia Lorian]|Outros|INT PAG TIT 157428039505 - armazem ceramica
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|RSHOP-IRMAOS VILA-02/10
[Residencia Lorian]|Outros|DOC     894364 ORIG 4085 - grama
[Residencia Lorian]|Outros|TBI 0024.00676-9GRAMA
[Residencia Lorian]|JMAR|INT PAG TIT BANCO 104 - NF 3481/3640/4306/4461/4843/4896/5364/5790
[Residencia Lorian]|Alserv|INT PAG TIT 157487349098 - alserv
[Residencia Lorian]|Jorge Kluwe|TBI 0767.04464-7JK-ADM
[Residencia Lorian]|Outros|INT TED   714282 QD-LUZ
[Residencia Lorian]|Liliana Guastavino|INT TED   719313 LG-ADM
E1. Extraordinárias (Ongoing):Saques|Saque|SAQUE S/C 001818 05/10
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|RSHOP-CASA DO PAO-07/10
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|RSHOP-IRMAOS VILA-07/10
[Residencia Lorian]|Alserv|INT PAG TIT 181788342149 alserv
E1. Extraordinárias (Ongoing):Saques|Saque|SAQUE 24H 00863399
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|RSHOP-IRMAOS VILA-10/10
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|RSHOP-WATER SOAP -10/10
[Residencia Lorian]|Outros|DOC INT 632361  cacamba
C1. Lazer-Estetica-Vestuario-Celular:Festas-Eventos Escolares|Escola Fadelito|INT PAG TIT BANCO 237
[Residencia Lorian]|Alserv|INT PAG TIT 157499394280 - alserv
[Residencia Lorian]|Outros|INT PAG TIT 175013076314
[Residencia Lorian]|Tambory Elétrica|INT PAG TIT BANCO 237 - TAMBORY 1/2
[Residencia Lorian]|Outros|INT PAG TIT 109000297382 concreto
E1. Extraordinárias (Ongoing):Saques|Saque|CXE     000034 SAQUE
[Residencia Lorian]|Outros|undefined
B1. Alimentação-Drogaria-Vet:Mercado-Padaria-Vinhos|Pao do Parque|RSHOP-PAO DO PARQ-21/10
[Residencia Lorian]|Outros|INT PAG TIT 157529558046 - AREIA
C1. Lazer-Estetica-Vestuario-Celular:Cinema-Locadora-Esportes-Diversao|Outros|INT PAG TIT 175910685388 - CORRIDA PAZ
G. Reembolsáveis:Dentista|Simone Erlichman|CH COMPENSADO 001 000836
B1. Alimentação-Drogaria-Vet:Mercado-Padaria-Vinhos|Supermercado|RSHOP-FRUTARIA SA-26/10
B2. Educação (Mensal):Academia-Clube-Personal|Clube Anhembi|PAGTO TIT 341
B2. Educação (Mensal):Cursos Marina-Felipe|Colegio Sto Americo|INT PAG TIT 173600688597 - GINASTICA ARTISTICA
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|RSHOP-PAES DOCES -31/10
A4. Funcionários:Diarista - Diárias|Neiva|4 x R$ 80 + 4 x (R$ 6,75 + R$ 6,75)
E1. Extraordinárias (Ongoing):Saques|Saque|SAQUE S/CARTAO CXE002022
G. Reembolsáveis:Dentista|Simone Erlichman|CH COMPENSADO 341 000849
[Residencia Lorian]|Outros|INT PAG TIT 157428039513 - pisos armazem
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Tuhu|RSHOP-TUHU RESTAU-01/11
G. Reembolsáveis:Despesas de Trabalho|Outros|SAQUE INTER US$  136,16
A1. Residência Villas:Condomínio Villas|Vilas São Francisco|INT PAG TIT 175066419509
G. Reembolsáveis:Despesas de Trabalho|Governo|OPF IOF CAMBIO
[Residencia Lorian]|Tambory Elétrica|INT PAG TIT BANCO 237 - tambory fios
[Residencia Lorian]|VEC/REMAT|INT PAG TIT BANCO 033 - vec p2
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|RSHOP-PAES DOCES -05/11
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Tuhu|RSHOP-TUHU RESTAU-05/11
[Residencia Lorian]|Outros|TBI 0641.10176-1BANHEIRA
C1. Lazer-Estetica-Vestuario-Celular:Cinema-Locadora-Esportes-Diversao|Ingresso|CH COMPENSADO 341 000842 - INGRESSOS TEATRO MARINA
B2. Educação (Mensal):Academia-Clube-Personal|Clube Anhembi|INT PAG TIT 112612202765
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|RSHOP-JERCEI PIRE-06/11
[Residencia Lorian]|FPS DECOR|PAGAMENTO CHEQUE  000851
[Residencia Lorian]|FPS DECOR|PAGAMENTO CHEQUE  000852
E1. Extraordinárias (Ongoing):Saques|Saque|SAQUE 24H 00378885
[Residencia Lorian]|Outros|INT PAG TIT BANCO 033 - imperm
G. Reembolsáveis:Despesas de Trabalho|Outros|RSHOP-ESNUK CAR  -08/11
B1. Alimentação-Drogaria-Vet:Mercado-Padaria-Vinhos|Supermercado|RSHOP-LOJAS AMERI-09/11
[Residencia Lorian]|Outros|INT DOC 237029386819937 - cacamba
[Residencia Lorian]|Tambory Elétrica|INT PAG TIT BANCO 237 - tambory ii p2
[Residencia Lorian]|Outros|INT PAG TIT 157541026881 - brita
C1. Lazer-Estetica-Vestuario-Celular:Cinema-Locadora-Esportes-Diversao|Fiel Torcedor|INT PAG TIT 175033920556
B. Outras Receitas:Restituição|Governo|DOC 001.1897SEC DA FAZEN - NOTA FISCAL
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|RSHOP-CAFE DONUTS-13/11
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|RSHOP-DELLANINA  -13/11
C1. Lazer-Estetica-Vestuario-Celular:Festas-Eventos Escolares|Outros|CH COMPENSADO 341 000853 - BOLO FESTA CARLA
[Residencia Lorian]|Outros|INT PAG TIT BANCO 237 - blocos
E1. Extraordinárias (Ongoing):Saques|Saque|SAQUE S/C 000463 17/11
[Residencia Lorian]|Aldeia/Aldeia Cores|INT PAG TIT 109100041255 - aldeia papelao
A2. Residência Lorian:Eletricidade|Eletropaulo|INT ELET.PAULO 782842100
F. Automóveis:Multas|Governo|INT SP-MULTA 0286813823
E1. Extraordinárias (Ongoing):Saques|Saque|CXE 000760 SAQUE 23/11
B1. Alimentação-Drogaria-Vet:Mercado-Padaria-Vinhos|Supermercado|RSHOP-EMPORIO SAL-23/11
E1. Extraordinárias (Ongoing):Residencia Moveis-Eletro-Serviços|Outros|CH COMPENSADO 399 000854 - jonix
B1. Alimentação-Drogaria-Vet:Mercado-Padaria-Vinhos|Supermercado|RSHOP-IRMAOS VILA-26/11
[Residencia Lorian]|Outros|INT PAG TIT BANCO 237 - engefuro
[Residencia Lorian]|Outros|INT PAG TIT BANCO 237 - ALPHACENTRO
[Residencia Lorian]|Outros|INT PAG TIT 157563937287 - JC TRANSP - AREIA
E1. Extraordinárias (Ongoing):Saques|Saque|CXE     000059 SAQUE
[Residencia Lorian]|Outros|INT PAG TIT 109032061795 - EQUIPAGUA
E2. Extraordinárias (One Time):Investimentos na Empresa|Intercepti|TBI 0742.55091-6INTERCEP
G. Reembolsáveis:Dentista|Simone Erlichman|CH COMPENSADO 001 000850
G. Reembolsáveis:Dentista|Simone Erlichman|CH COMPENSADO 001 000855
A4. Funcionários:Diarista - Diárias|Neiva|4 x R$ 80 + 5 x (R$ 6,75 x 2)
A4. Funcionários:Babá - Salário-Férias|Eliana|INT TED 104026301678933 - 13o
G. Reembolsáveis:Médicos-Clinicas-Exames|Marcelo Cocuzza|CH COMPENSADO 341 000859 - UROLOGISTA
E1. Extraordinárias (Ongoing):Saques|Saque|SAQUE S/CARTAO CXE000091
[Residencia Lorian]|Alserv|INT PAG TIT 157597778467 - ALSERV
A2. Residência Lorian:Eletricidade|Eletropaulo|ELETROPAULO   1001168159
[Residencia Lorian]|Outros|CH COMPENSADO 237 000863 - CARTORIO
A1. Residência Villas:TV Cabo - Telefone - Internet|NET|DA  NET SERVIÇOS 0295145
[Residencia Lorian]|Aldeia/Aldeia Cores|INT PAG TIT 109260045013 - aldeia cores
[Residencia Lorian]|Outros|TBI 6997.06220-0Limpafos - OSASTEC
E1. Extraordinárias (Ongoing):Presentes|Outros|COMPRA INTER
[Residencia Lorian]|Alserv|INT PAG TIT 157597752165 - ALSERV
E1. Extraordinárias (Ongoing):Presentes|Outros|TBI 7054.21810-7MARINA - CSA PROF
B2. Educação (Mensal):Livros-Material Escolar|Outros|DOC INT 743260 CSA-3oAN - LIVROS
H. Impostos Federais:CPMF-IOF|Governo|OPF IOF CAMBIO
E2. Extraordinárias (One Time):Investimentos na Empresa|Outros|INT PAG TIT 175014625060 - CERTISIGN
E2. Extraordinárias (One Time):Investimentos na Empresa|Outros|INT PAG TIT 175014625185 - CERTISIGN
E1. Extraordinárias (Ongoing):Presentes|Outros|SAQUE INTER US$   42,50
B1. Alimentação-Drogaria-Vet:Mercado-Padaria-Vinhos|Supermercado|RSHOP-FRUTARIA CO-14/12
B1. Alimentação-Drogaria-Vet:Mercado-Padaria-Vinhos|Pao do Parque|RSHOP-PAO DO PARQ-14/12
[Residencia Lorian]|Jorge Kluwe|TBI 0767.04464-7JK-NOV
[Residencia Lorian]|Liliana Guastavino|INT TED   529084 LG-NOV
E1. Extraordinárias (Ongoing):Saques|Saque|SAQUE S/CARTAO CXE000596
[Residencia Lorian]|Outros|INT PAG TIT 157593860541 - JC TRANSP AREIA
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|RSHOP-CASA P D FI-18/12
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|RSHOP-IRMAOS VILA-18/12
E1. Extraordinárias (Ongoing):Saques|Saque|SAQUE 24H 01659911
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|RSHOP-IRMAOS VILA-19/12
E1. Extraordinárias (Ongoing):Presentes|Outros|PAGAMENTO CHEQUE  000858 - ESCOVA ELETRICA CARLA
E1. Extraordinárias (Ongoing):Saques|Saque|SAQUE S/C 000984 21/12
E1. Extraordinárias (Ongoing):Saques|Saque|SAQUE S/CARTAO CXE001610 - MEGA SENA
G. Reembolsáveis:Dentista|Simone Erlichman|CH COMPENSADO 001 000856
A4. Funcionários:Babá - Salário-Férias|Eliana|TBI 0444.63529-6eli-dez
B2. Educação (Mensal):Escola Marina|Colegio Sto Americo|MENSALIDADE COL ST AMERICO
[Residencia Lorian]|Outros|INT PAG TIT BANCO 001 - AGUA SHADDAI
[Residencia Lorian]|Outros|INT PAG TIT BANCO 237 - ALPHACENTRO MATL ELETR
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|RSHOP-CASA P D FI-11/01
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|RSHOP-GELATERIA P-14/01
[Residencia Lorian]|Outros|INT PAG TIT BANCO 237 - ALPHATAMBORE MATL HIDR
[Residencia Lorian]|Outros|INT PAG TIT BANCO 237 - ALPHATAMBORE MAL HIDR
[Residencia Lorian]|Aldeia/Aldeia Cores|INT PAG TIT 109260046763 - ALDEIA
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|RSHOP-KOPENHAGEN--15/01
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|RSHOP-SUCOBAGACO--15/01
A4. Funcionários:Babá - Salário-Férias|Eliana|DOC INT 614126  ELIFERIAS
A1. Salário:Carla - Salário-RL|GE|TED S 033.3961CARLA MARI FERIAS
[Residencia Lorian]|Pedras Sao Luiz|TBI 4285.09673-3 SOLEIRAS - NF 1250/1251
C1. Lazer-Estetica-Vestuario-Celular:Cinema-Locadora-Esportes-Diversao|Fiel Torcedor|INT PAG TIT 175034656811
[Residencia Lorian]|Outros|INT PAG TIT 109000186719 - concreteli
E1. Extraordinárias (Ongoing):Saques|Saque|SAQUE S/C 002311 19/01
[Residencia Lorian]|Tambory Elétrica|INT PAG TIT BANCO 237 - TAMBORY II 2/2
C1. Lazer-Estetica-Vestuario-Celular:Vestuário Eduardo-Carla|Outros|RSHOP-ASSOC DAS R-25/01 - RENDAS FORTALEZA
[Porto Seguro Visa]|Porto Seguro Visa|SISDEB  CARTAO PORTO S
E1. Extraordinárias (Ongoing):Saques|Saque|SAQUE S/CARTAO CXE000778
G. Reembolsáveis:Dentista|Simone Erlichman|CH COMPENSADO 001 000857
[Residencia Lorian]|Edivaldo|TED - EDIVALDO PINTOR
[Residencia Lorian]|Outros|INT PAG TIT 175013105014 - BOMBA CONCRETO
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|RSHOP-ODAIR F DA -03/02
A1. Residência Villas:TV Cabo - Telefone - Internet|NET|NET
A1. Residência Villas:IPTU Villas|Governo|IPTU
E1. Extraordinárias (Ongoing):Taxi-Estacionamento|Taxi|CH COMPENSADO 237 000860
[Residencia Lorian]|Outros|INT TED 237029386819937 - CACAMBA
E1. Extraordinárias (Ongoing):Taxi-Estacionamento|Taxi|CH COMPENSADO 237 000864
B2. Educação (Mensal):Academia-Clube-Personal|Clube Anhembi|INT PAG TIT 112876100671
E1. Extraordinárias (Ongoing):Saques|Saque|SAQUE S/CARTAO CXE000588
E1. Extraordinárias (Ongoing):Saques|Saque|CXE     001842 SAQUE
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|RSHOP-CENTRO A HI-08/02
G. Reembolsáveis:Despesas de Trabalho|Outros|RSHOP-LAVA RAP CA-07/02
[Residencia Lorian]|Outros|TBI 6996.08467-6TERRAJET
A4. Funcionários:Diarista - Diárias|Raimunda|INT DOC 104122800019768 - RAIMUNDA
[Residencia Lorian]|Outros|TBI 0572.01639-2LORIAN - IMPERM
[Residencia Lorian]|Jorge Kluwe|TBI 0767.04464-7jk-JAN
G. Reembolsáveis:Médicos-Clinicas-Exames|Marcelo Cocuzza|TBI 7380.00005-4EMARQUES
[Residencia Lorian]|Liliana Guastavino|INT TED   889260lg-JANDE
E1. Extraordinárias (Ongoing):Residencia Moveis-Eletro-Serviços|Outros|CH COMPENSADO 341 000865
[Residencia Lorian]|Olindo Jesus Santos|INT TED   501932 FPS
[Residencia Lorian]|Outros|INT DOC 237049500888680 - LARGRIL DUTOS
E1. Extraordinárias (Ongoing):Saques|Saque|SAQUE S/CARTAO CXE000018
[Residencia Lorian]|Outros|INT PAG TIT BANCO 237 - CIMENTEC 60604
[Residencia Lorian]|Aldeia/Aldeia Cores|INT PAG TIT 109260047654 - ALDEIA CORES 6197
B2. Educação (Mensal):Cursos Marina-Felipe|Colegio Sto Americo|INT PAG TIT 175600757512 - GINASTICA
A4. Funcionários:Babá - INSS|Previdencia Social|BKI GPS  000011634497648 - 01/14
E1. Extraordinárias (Ongoing):Residencia Moveis-Eletro-Serviços|Outros|RSHOP-CITY COPY  -18/02
E1. Extraordinárias (Ongoing):Saques|Saque|SAQUE S/CARTAO CXE000042
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|RSHOP-GH FERNANDE-19/02
[Residencia Lorian]|Outros|INT PAG TIT BANCO 237 - ALPHATAMBORE - 30669
[Residencia Lorian]|Alserv|INT PAG TIT 157694855770 - alserv FAT4622
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|RSHOP-RESTAURANTE-20/02
[Residencia Lorian]|Olindo Jesus Santos|TED
[Residencia Lorian]|Outros|INT PAG TIT BANCO 237 - MULTA
[Residencia Lorian]|Aldeia/Aldeia Cores|INT PAG TIT 109260047910 - ALDEIA 6268
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|RSHOP-PAES DOCES -21/02
B2. Educação (Mensal):Cursos Eduardo-Carla|INEPAD|DOC INT 701096 CARLA MA
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|RSHOP-GH FERNANDE-24/02
[Residencia Lorian]|Outros|TBI 1011.27550-8LORIAN - AGUA JAGUARE
E1. Extraordinárias (Ongoing):Saques|Saque|SAQUE S/CARTAO CXE000398
G. Reembolsáveis:Despesas de Trabalho|Estapar|RSHOP-ESTACIONAME-26/02
[Residencia Lorian]|Outros|INT TED   730740 EDUARDO - CARLOS HIDR
C1. Lazer-Estetica-Vestuario-Celular:Cinema-Locadora-Esportes-Diversao|Fiel Torcedor|INT PAG TIT 175035206988
E1. Extraordinárias (Ongoing):Saques|Saque|CXE     000620 SAQUE
A4. Funcionários:Diarista - Diárias|Neiva|4 x R$ 80 + 5 x (R$ 6,75 + R$ 6,75)
[Residencia Lorian]|Olindo Jesus Santos|INT TED   923125 LFPS
C1. Lazer-Estetica-Vestuario-Celular:Cinema-Locadora-Esportes-Diversao|Fiel Torcedor|INT PAG TIT 175035223645
[Residencia Lorian]|Outros|INT PAG TIT BANCO 237 - ALPHATAMBORE - 30944
[Residencia Lorian]|Aldeia/Aldeia Cores|INT PAG TIT 109260048025 - ALDEIA CORES 6294
A1. Residência Villas:Condomínio Villas|Vilas São Francisco|INT PAG TIT 175067085200
B2. Educação (Mensal):Cursos Marina-Felipe|Colegio Sto Americo|INT PAG TIT 175600780787 - INGLES
G. Reembolsáveis:Despesas de Trabalho|Estapar|RSHOP-ESTAC SHOP -04/03
E1. Extraordinárias (Ongoing):Saques|Saque|CXE     001677 SAQUE
F. Automóveis:Multas|Governo|INT SP-MULTA 0290953996
B2. Educação (Mensal):Academia-Clube-Personal|Clube Anhembi|INT PAG TIT 112952797564
[Residencia Lorian]|Olindo Jesus Santos|INT TED   825471 FPS
[Residencia Lorian]|Outros|INT PAG TIT BANCO 237 - CIMENTEC 61551
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|RSHOP-HAAGEN-DAZS-08/03
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|RSHOP-PAES E DOCE-09/03
E1. Extraordinárias (Ongoing):Presentes|Outros|DOC INT 791121  MARINA - PRESENTES PROFA
