[Mastercard Personnalite]|Opening Balance|undefined
E1. Extraordinarias (Ongoing):Taxi-Estacionamento|Estapar|GUARUJA E
B1. Alimentacao-Drogaria-Vet:Mercado-Padaria-Vinhos|Supermercado|COMPREBEM 1875 ENSEADA
B1. Alimentacao-Drogaria-Vet:Mercado-Padaria-Vinhos|Supermercado|P A 2432 PA JEQUITIMAR
E1. Extraordinarias (Ongoing):Residencia Moveis-Eletro-Servicos|Outros|FLORICULTURA PIERAMI
F. Automoveis:Combustivel-Lavagem-Oleo|Outros|PRODUTOS E SERVICOS AU
C1. Lazer-Estetica-Vestuario-Celular:Vestuario Marina-Felipe|Outros|ANGELA CALCADOS 14
B1. Alimentacao-Drogaria-Vet:Mercado-Padaria-Vinhos|Supermercado|CENTER CARNES
B1. Alimentacao-Drogaria-Vet:Mercado-Padaria-Vinhos|Supermercado|FABIANA M B DUARTE PEI
E2. Extraordinarias (One Time):Outras|Outros|BLACK TIME
E1. Extraordinarias (Ongoing):Reforma Vilas|Rei do Rodape|REI DO RODAPE COME
B1. Alimentacao-Drogaria-Vet:Mercado-Padaria-Vinhos|Restaurantes|SUPER GRILL EXP GUARU
C1. Lazer-Estetica-Vestuario-Celular:Vestuario Marina-Felipe|Estapar|VG PARK
E1. Extraordinarias (Ongoing):Residencia Moveis-Eletro-Servicos|Outros|CLEBER CABOLA ROMANO FLORES
B. Outras Receitas:Devolucao - Pagto Emprestimo|Submarino|SUBMARINO MARKETPLACE
E1. Extraordinarias (Ongoing):Reforma Vilas|Leroy Merlin|LEROY MERLIN MORUM
F. Automoveis:Combustivel-Lavagem-Oleo|Combustível|POSTO EXTRA R JAFET262
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|MINA PIZZA
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|TEA HUB
B. Outras Receitas:Ajustes|Outros|CENTAURO.COM*
C1. Lazer-Estetica-Vestuario-Celular:Estetica-Massagem|Outros|PAG*Luisexpress
B1. Alimentacao-Drogaria-Vet:Drogaria|Drogaria|4BIO MEDICAMENTOS 
E1. Extraordinarias (Ongoing):Residencia Moveis-Eletro-Servicos|Outros|PETZ JAGUARE
E1. Extraordinarias (Ongoing):Residencia Moveis-Eletro-Servicos|Outros|MUNDO VERDE
C1. Lazer-Estetica-Vestuario-Celular:Estetica-Massagem|Outros|PRODUTOS E SERVICOS AU
B. Outras Receitas:Ajustes|Rei do Rodape|REI DO RODAPE COMERCIO
C1. Lazer-Estetica-Vestuario-Celular:Estetica-Massagem|Outros|AMARAL PRODUCOES
B1. Alimentacao-Drogaria-Vet:Mercado-Padaria-Vinhos|Supermercado|TORINO COMERCIO DE ALI
B1. Alimentacao-Drogaria-Vet:Mercado-Padaria-Vinhos|Supermercado|NUTRICENTRAL CENTER VA
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|ANTE SALA CAFE
C1. Lazer-Estetica-Vestuario-Celular:Vestuario Eduardo-Carla|Outros|CAST UNIFORMES
C1. Lazer-Estetica-Vestuario-Celular:Vestuario Eduardo-Carla|Outros|CIA MARITIMA 
B1. Alimentacao-Drogaria-Vet:Mercado-Padaria-Vinhos|Outros|DISTRIBUIDORA DE HORTI
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|MCM CAFE BAR
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|PEROLA DO PERI PERI
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|PORTAL DO PARAISO POST
E2. Extraordinarias (One Time):Outras|Outros|CENTAURO.COM* 
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|FRUTAH SIMPLES NATURA
F. Automoveis:Combustivel-Lavagem-Oleo|Combustível|ALESAT AUTO POSTO JULE
E1. Extraordinarias (Ongoing):Taxi-Estacionamento|Estapar|PAG*Estafacil
G. Reembolsaveis:Medicos-Clinicas-Exames|Marcelo Silber|CICLO DE VIDA 1.
C1. Lazer-Estetica-Vestuario-Celular:Estetica-Massagem|Outros|CALFER PARTICIPACOES E
B1. Alimentacao-Drogaria-Vet:Mercado-Padaria-Vinhos|Supermercado|H D FRANGOS LTDA ME
E2. Extraordinarias (One Time):Outras|Outros|CIA NORTE
B1. Alimentacao-Drogaria-Vet:Mercado-Padaria-Vinhos|Supermercado|LATICINIOS GUAREI LTDA
B1. Alimentacao-Drogaria-Vet:Mercado-Padaria-Vinhos|Supermercado|MERCEARIA RABELLO
B1. Alimentacao-Drogaria-Vet:Mercado-Padaria-Vinhos|Supermercado|PEG PESE
B1. Alimentacao-Drogaria-Vet:Mercado-Padaria-Vinhos|Supermercado|RAINHA DO MERCADO
B1. Alimentacao-Drogaria-Vet:Mercado-Padaria-Vinhos|Supermercado|ARMAZEM SAO PAULO
E1. Extraordinarias (Ongoing):Taxi-Estacionamento|Estapar|ICO ESTACIONAMENTOS
E1. Extraordinarias (Ongoing):Presentes|Outros|VILLA BELA BIJUTERIAS
E1. Extraordinarias (Ongoing):Presentes|Outros|SPICY VILLA LOBOS 
F. Automoveis:Combustivel-Lavagem-Oleo|Combustível|ELISEU AUTO POSTO
B1. Alimentacao-Drogaria-Vet:Mercado-Padaria-Vinhos|Outros|MERCEARIA SAO FRANCISC
E2. Extraordinarias (One Time):Outras|Outros|REI DA CUTELARIA 
F. Automoveis:Manutencao-Revisao Auto|Outros|PRODUTOS E SERVICOS AU
B1. Alimentacao-Drogaria-Vet:Mercado-Padaria-Vinhos|Outros|VARANDA FRUTAS
F. Automoveis:Combustivel-Lavagem-Oleo|Combustível|MIX AUTO POSTO
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Outros|THE BARLEY HOUSE
[Itau Personnalité]|Mastercad Black|PERS BLACK  3603-3614
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Outros|STA ETIENNE
E1. Extraordinarias (Ongoing):Reforma Vilas|Outros|POLLY PORTAS
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|CRAZY MEATS
F. Automoveis:Combustivel-Lavagem-Oleo|Combustível|A POSTO LG DE PINHEI
E2. Extraordinarias (One Time):Outras|Outros|CJ2 COMERCIO DE PRODUT
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|GATTAMELATA GELATERIA
C1. Lazer-Estetica-Vestuario-Celular:Estetica-Massagem|Outros|VAGNER ALVARENGA MATRI
E1. Extraordinarias (Ongoing):Reforma Vilas|Outros|COMERCIAL RESIPAR 
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|MA SUSHI BAR LANCHES
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|SORVETES MOEMA LTDA -
E1. Extraordinarias (Ongoing):Presentes|Outros|ORGANICA BODY 
C1. Lazer-Estetica-Vestuario-Celular:Estetica-Massagem|Outros|DOUGLAS COURI 
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|PANDAREU RESTAURANTE
C1. Lazer-Estetica-Vestuario-Celular:Vestuario Eduardo-Carla|Outros|DRESS CODE 
C1. Lazer-Estetica-Vestuario-Celular:Festas-Eventos Escolares|Student Travel|PAG*SdStudentTravel
E1. Extraordinarias (Ongoing):Taxi-Estacionamento|Estapar|PAG*LiderParkEstacion
E1. Extraordinarias (Ongoing):Residencia Moveis-Eletro-Servicos|Outros|CENTRAL CABOS
F. Automoveis:Combustivel-Lavagem-Oleo|Combustível|REI DO OLEO 
F. Automoveis:Combustivel-Lavagem-Oleo|Combustível|POSTO IPIRANGA
B2. Educacao (Mensal):Merenda|Sapore|GRAN SAPORE
F. Automoveis:Manutencao-Revisao Auto|Casarini Mitsubishi|CASARINI 
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|SAINT CARLO
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|MINAS EM CASA
F. Automoveis:Combustivel-Lavagem-Oleo|Combustível|POTENZA
B2. Educacao (Mensal):Cursos Eduardo-Carla|Outros|ING*PEGNLABSBARES
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|CMA
B. Outras Receitas:Ajustes|Outros|ORGANICA BODY
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|RESTAURANTE
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|MR. MUNCHIES
E1. Extraordinarias (Ongoing):Reforma Vilas|Outros|TINTAS MC
E1. Extraordinarias (Ongoing):Taxi-Estacionamento|Estapar|FELIPE WASH CAR LTDA M
G. Reembolsaveis:Medicos-Clinicas-Exames|Gelde Stochero|CENTRO MEDICO VIVER ME
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|CITYS
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|LE JARDIN ILLUMINE RES
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|J F RUGGIERO RESTAURAN
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|FRANS CAFE
C1. Lazer-Estetica-Vestuario-Celular:Cinema-Locadora-Esportes-Diversao|Outros|MSV AVENTURA LTDA ME
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|VIENA HOSPITAL ALBERT
E2. Extraordinarias (One Time):Medicos-Clinicas-Exames|Centro Médico Viver Melhor|CIRURGIA PLASTICA - 00.563.-45
E2. Extraordinarias (One Time):Medicos-Clinicas-Exames|Centro Médico Viver Melhor|AUXILIAR PLASTICA - 00.563.-45
E2. Extraordinarias (One Time):Medicos-Clinicas-Exames|Centro Médico Viver Melhor|INSTRUM PLASTICA - 00.563.-45
E2. Extraordinarias (One Time):Manutencao Residencia|Outros|WWWCASACENT 
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|PARRILHA ARGENTINA
B1. Alimentacao-Drogaria-Vet:Drogaria|Drogaria|DROGASIL 342
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|NARJUR COMERCIO DE ALI
E1. Extraordinarias (Ongoing):Taxi-Estacionamento|Estapar|ESTAPAR EDIFICIO YARA
E1. Extraordinarias (Ongoing):Taxi-Estacionamento|Estapar|JAGUARIBE PARK
E1. Extraordinarias (Ongoing):Taxi-Estacionamento|Estapar|IGUATEMI ALPHAVILLE
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|RESTAURANTE E LANCHONE
B1. Alimentacao-Drogaria-Vet:Drogaria|Drogaria|DROGASILF 755
B1. Alimentacao-Drogaria-Vet:Mercado-Padaria-Vinhos|Supermercado|PEIXARIA
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|O RICCI D
C1. Lazer-Estetica-Vestuario-Celular:Vestuario Eduardo-Carla|Outros|PAG*BSideFashionSt
F. Automoveis:Manutencao-Revisao Auto|Outros|OCEAN AR CONDICION
B1. Alimentacao-Drogaria-Vet:Mercado-Padaria-Vinhos|Supermercado|ASSAI ATA
E1. Extraordinarias (Ongoing):Presentes|Outros|SARAIVA COM 
C1. Lazer-Estetica-Vestuario-Celular:Vestuario Eduardo-Carla|Outros|GREGORY COMERCIO D
C1. Lazer-Estetica-Vestuario-Celular:Vestuario Eduardo-Carla|Outros|SONIA AP MOREIRA 
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|HOTEL TRA
C1. Lazer-Estetica-Vestuario-Celular:Vestuario Eduardo-Carla|Outros|NETSHOES*SHOESTOCK
C1. Lazer-Estetica-Vestuario-Celular:Vestuario Marina-Felipe|Outros|A PLUS IN
E1. Extraordinarias (Ongoing):Residencia Moveis-Eletro-Servicos|Outros|CAMICADO MORUMBI 
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|RESTAURAN
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|DRL PAES
E1. Extraordinarias (Ongoing):Reforma Vilas|Outros|C C MORUM
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|MC DONALDS AAE
C1. Lazer-Estetica-Vestuario-Celular:Vestuario Eduardo-Carla|Outros|TATIANA GIANINI SEMI J
B. Outras Receitas:Devolucao - Pagto Emprestimo|Outros|EBANX-MYS
E1. Extraordinarias (Ongoing):Presentes|Outros|EBANX-MYS 
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|TERRACO J
B1. Alimentacao-Drogaria-Vet:Mercado-Padaria-Vinhos|Extra|EXTRA JAG
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|ST ETIENN
[Residencia Lorian]|Breton|BRETON
E1. Extraordinarias (Ongoing):Taxi-Estacionamento|Estapar|MOURATO PARK
B1. Alimentacao-Drogaria-Vet:Drogaria|Drogaria|RAIA DROGASIL 502
D. Viagens:Tkt-Hotel-Auto|Hotel|SAN THIAGO MINAS H
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|FRANGO ASSADO JAGUARIU
B. Outras Receitas:Ajustes|Outros|GREGORY COMERCIO DE MO
F. Automoveis:Combustivel-Lavagem-Oleo|Combustível|PPR AUTO POSTO
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|CASA DE PAES DE DOCES
E2. Extraordinarias (One Time):Outras|Outros|PAG*Luisexpress
E2. Extraordinarias (One Time):Outras|Outros|F J R INF - Tela iPhone
[Residencia Lorian]|Outros|QUAKER TE 
B. Outras Receitas:Ajustes|Hospital Albert Einstein|HOSPITAL ALBERT EINSTE
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|SANWA
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|BURGER KING POSTO TANC
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|CANTO DA CERVA
C1. Lazer-Estetica-Vestuario-Celular:Vestuario Eduardo-Carla|Outros|BETE GAIVOTAS 
E1. Extraordinarias (Ongoing):Presentes|Fast Shop|FAST SHOP
[Residencia Lorian]|Lider Moveis|LIDER INT 
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|LUCI RESTAURANTE DELIV
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|ARMAZEM SAO JORGE
E1. Extraordinarias (Ongoing):Reforma Vilas|Leroy Merlin|LEROY MER
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|VIANNA BAR II
E1. Extraordinarias (Ongoing):Taxi-Estacionamento|Estapar|INFINITY ESTACIONAMENT
E1. Extraordinarias (Ongoing):Presentes|Outros|LE CREUSET DO BRASIL
C1. Lazer-Estetica-Vestuario-Celular:Estetica-Massagem|Outros|ELYDIO BA
C1. Lazer-Estetica-Vestuario-Celular:Vestuario Eduardo-Carla|Outros|HOPE SHOP VILLA LOBOS
C1. Lazer-Estetica-Vestuario-Celular:Vestuario Marina-Felipe|Outros|MEIAO MEIAS COMERC
E1. Extraordinarias (Ongoing):Taxi-Estacionamento|Estapar|ENGEPARK
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|A CAMPONE
B. Outras Receitas:Ajustes|Outros|QUAKER TE
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|MANIA DE CHURRASCO PRI
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|VL3 COMERCIO DE SUCOS
E2. Extraordinarias (One Time):Outras|Outros|DR SOFTWARE DOWNLOAD*D
E2. Extraordinarias (One Time):Outras|Outros|LASTPASS.COM USD 24
H. Impostos Federais:CPMF-IOF|Governo|IOF COMPRA INTERNACIONA USD 1.53
[Residencia Lorian]|Outros|GALERIA D
C1. Lazer-Estetica-Vestuario-Celular:Estetica-Massagem|Outros|PAG*GuilhermoRodrigue
B. Outras Receitas:Ajustes|Outros|MEIAO MEIAS COMERCIAL
B1. Alimentacao-Drogaria-Vet:Drogaria|Drogaria|RAIA DROGASIL POLO
C1. Lazer-Estetica-Vestuario-Celular:Estetica-Massagem|Outros|CAMAROT ITAIM
C1. Lazer-Estetica-Vestuario-Celular:Estetica-Massagem|Outros|PAG*SkinCosmetics 
C1. Lazer-Estetica-Vestuario-Celular:Estetica-Massagem|Outros|STILO R C
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|VARANDAS BRIGADEIRO
E1. Extraordinarias (Ongoing):Taxi-Estacionamento|Estapar|INOVACAO
C1. Lazer-Estetica-Vestuario-Celular:Cinema-Locadora-Esportes-Diversao|Outros|KINOPLEX
E1. Extraordinarias (Ongoing):Reforma Vilas|Leroy Merlin|LEROY MER 
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|CAFE URBANO SP
C1. Lazer-Estetica-Vestuario-Celular:Estetica-Massagem|Outros|CLINICA 
B1. Alimentacao-Drogaria-Vet:Mercado-Padaria-Vinhos|Extra|EX HIPER
E2. Extraordinarias (One Time):Manutencao Residencia|Submarino|SUBMARINO 
E1. Extraordinarias (Ongoing):Reforma Vilas|Outros|C C OSASC 
C1. Lazer-Estetica-Vestuario-Celular:Vestuario Marina-Felipe|Outros|RENNER 138-UNIAO OSASC
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|GENDAI CUL ORIENTAL
B1. Alimentacao-Drogaria-Vet:Drogaria|Drogaria|DROG SAO PAULO 514
E1. Extraordinarias (Ongoing):Presentes|Outros|CENTAURO-CE 110 
E1. Extraordinarias (Ongoing):Presentes|Lojas|MARISA LOJAS SA 
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|CUOR DI CREMA
E1. Extraordinarias (Ongoing):Reforma Vilas|Tintas Famosas|TINTAS FA 
B1. Alimentacao-Drogaria-Vet:Drogaria|Drogaria|FCIA PAGUE MENOS 918
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|FINNEGAN-S PUB
E1. Extraordinarias (Ongoing):Reforma Vilas|Tintas Famosas|TINTAS FA
B1. Alimentacao-Drogaria-Vet:Drogaria|Drogaria|RAIA DROGASIL POLO SP
C1. Lazer-Estetica-Vestuario-Celular:Vestuario Marina-Felipe|Outros|FOREVER 2 
B1. Alimentacao-Drogaria-Vet:Drogaria|Drogaria|MULTIDROGAS FILIAL
E1. Extraordinarias (Ongoing):Presentes|Outros|CENTAURO 46-ELDORA
E2. Extraordinarias (One Time):Manutencao Residencia|Outros|FAST TECH-SH.ELDORADO
C1. Lazer-Estetica-Vestuario-Celular:Vestuario Marina-Felipe|Outros|FOREVER 21 ELDORADO
E2. Extraordinarias (One Time):Manutencao Residencia|Outros|SANTIL 
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|VINIL BURGER
B2. Educacao (Mensal):Livros-Material Escolar|Outros|SPR COMERCIAL E DI
[Residencia Lorian]|Outros|SOTTILECASA 
B1. Alimentacao-Drogaria-Vet:Mercado-Padaria-Vinhos|Extra|EXTRA AEROPORTO 
B1. Alimentacao-Drogaria-Vet:Mercado-Padaria-Vinhos|Supermercado|MERCEARIA ORIENTAL
B. Outras Receitas:Ajustes|Submarino|SUBMARINO COM
E2. Extraordinarias (One Time):Manutencao Residencia|Outros|SANTIL
B1. Alimentacao-Drogaria-Vet:Mercado-Padaria-Vinhos|Supermercado|EMPORIO STA MARIA
B1. Alimentacao-Drogaria-Vet:Mercado-Padaria-Vinhos|Supermercado|HORTI FRUTAS 29
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|KFC SH. VILA OLIMPIA
B1. Alimentacao-Drogaria-Vet:Mercado-Padaria-Vinhos|Supermercado|CASA DE CARNES P J J
C1. Lazer-Estetica-Vestuario-Celular:Estetica-Massagem|Outros|JOAO LOPES MATIAS E CI
E1. Extraordinarias (Ongoing):Taxi-Estacionamento|Estapar|CAR PARK
C1. Lazer-Estetica-Vestuario-Celular:Cinema-Locadora-Esportes-Diversao|Cinemark|KINOPLEX VILA OLIMPIA
B1. Alimentacao-Drogaria-Vet:Mercado-Padaria-Vinhos|Supermercado|LATICINIOS D ORO LT
B. Outras Receitas:Ajustes|Outros|C C OSASCO
E2. Extraordinarias (One Time):Outras|Outros|EMPRESA AUTO ONIBUS MA
E2. Extraordinarias (One Time):Manutencao Residencia|Outros|PRINCESA FLORES
E2. Extraordinarias (One Time):Manutencao Residencia|Outros|LILY FLORES
G. Reembolsaveis:Medicos-Clinicas-Exames|Marcelo Silber|DR MARCELO SILBER
B1. Alimentacao-Drogaria-Vet:Drogaria|Drogaria|DROG PERF JOAO MOURA
B. Outras Receitas:Ajustes|Outros|CENTAURO 46-ELDORADO
B2. Educacao (Mensal):Livros-Material Escolar|Outros|EDITORA MODERNA 
C1. Lazer-Estetica-Vestuario-Celular:Cinema-Locadora-Esportes-Diversao|Fiel Torcedor|PAG*Fieltorcedor
E1. Extraordinarias (Ongoing):Taxi-Estacionamento|Estapar|PLENTY PARK ESTACIONE
E1. Extraordinarias (Ongoing):Presentes|Outros|SWAROVSKI
E1. Extraordinarias (Ongoing):Reforma Vilas|Outros|JAGUARE COMERCIAL
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|PESTANA SAO PAULO
C1. Lazer-Estetica-Vestuario-Celular:Estetica-Massagem|Outros|INOVACAO PARQUE
C1. Lazer-Estetica-Vestuario-Celular:Estetica-Massagem|Outros|NAO + PELO*NaoMais
G. Reembolsaveis:Medicos-Clinicas-Exames|Alexandre Kaupp|A O KAUP NEUROLOGIA
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|RESTAURANTE PRATO FINO
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|KOPENHAGEN-C.JARDIM
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|MQ VENDING
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|M P
C1. Lazer-Estetica-Vestuario-Celular:Estetica-Massagem|Outros|PAG*HenriqueDanielMar
C1. Lazer-Estetica-Vestuario-Celular:Vestuario Marina-Felipe|Outros|TENNIS ONE UNIA 
C1. Lazer-Estetica-Vestuario-Celular:Estetica-Massagem|Outros|THELMA & LOUIZE
F. Automoveis:Manutencao-Revisao Auto|Casarini Mitsubishi|ONE 1 VEICULOS 
E1. Extraordinarias (Ongoing):Taxi-Estacionamento|Estapar|TREVO
B. Outras Receitas:Ajustes|Outros|EDITORA MODERNA
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|FAZENDA DOS PAES
E1. Extraordinarias (Ongoing):Residencia Moveis-Eletro-Servicos|Outros|SECO
E1. Extraordinarias (Ongoing):Residencia Moveis-Eletro-Servicos|Outros|MAK FRIGO REFRIGERACAO
E1. Extraordinarias (Ongoing):Residencia Moveis-Eletro-Servicos|Outros|DI PRESENTES
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|PATI BRIGADEIROS.
E1. Extraordinarias (Ongoing):Residencia Moveis-Eletro-Servicos|Outros|STILO R CONFECCOES
F. Automoveis:Combustivel-Lavagem-Oleo|Combustível|AUTO POSTO NATURAFLEX
C1. Lazer-Estetica-Vestuario-Celular:Vestuario Eduardo-Carla|Outros|HAVAIANA
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|FABRICA DE SABOR
C1. Lazer-Estetica-Vestuario-Celular:Estetica-Massagem|Outros|PAG*BSideFashionSt
F. Automoveis:Combustivel-Lavagem-Oleo|Combustível|AUTO POSTO QUINTAS MOR
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|CINQUE TERRE QUEIJOS E
B1. Alimentacao-Drogaria-Vet:Mercado-Padaria-Vinhos|Supermercado|CASA SANTO ANTONIO
B1. Alimentacao-Drogaria-Vet:Drogaria|Drogaria|DROG 2072 EXTRA OS
E1. Extraordinarias (Ongoing):Taxi-Estacionamento|Estapar|ARRUDA E RODRIGUES COM
E1. Extraordinarias (Ongoing):Reforma Vilas|Outros|W A PISOS 
B1. Alimentacao-Drogaria-Vet:Mercado-Padaria-Vinhos|Supermercado|COM. DE FRANGO CARLOS
B. Outras Receitas:Ajustes|Outros|TENNIS ONE UNIA
C1. Lazer-Estetica-Vestuario-Celular:Estetica-Massagem|Outros|SYSTEME COIFFEURS
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|BAR DA PRAIA REST
B. Outras Receitas:Ajustes|Casarini Mitsubishi|ONE 1 VEICULOS
E1. Extraordinarias (Ongoing):Reforma Vilas|Outros|COML FERR TOMIL LTDA
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|HOTEL TRANSAMERICA
E1. Extraordinarias (Ongoing):Residencia Moveis-Eletro-Servicos|Outros|VIA VAREJO 
C1. Lazer-Estetica-Vestuario-Celular:Vestuario Eduardo-Carla|Outros|SHOESTOCK 
E1. Extraordinarias (Ongoing):Taxi-Estacionamento|Estapar|D D PARK
C1. Lazer-Estetica-Vestuario-Celular:Festas-Eventos Escolares|Student Travel|PAG*SdStudentTrave
F. Automoveis:Manutencao-Revisao Auto|Casarini Mitsubishi|ONE 1 VEICULOS  1.
E1. Extraordinarias (Ongoing):Reforma Vilas|Outros|W A PISOS
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|EORI - PF CHANGS
[Itau Personnalité]|Mastercad Black|PERS BLACK 3603-3614
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|VIVENDA VISTA VERDE RE
C1. Lazer-Estetica-Vestuario-Celular:Vestuario Eduardo-Carla|Vila Romana|PAG*VilaRomana 
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|PECORINO RESTAURANTE
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|ALMANARA RESTAURANTE
E1. Extraordinarias (Ongoing):Presentes|Outros|LOJAS IPLACE 
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|FINNEGAN'S PUB
B. Outras Receitas:Ajustes|Outros|NETSHOES*SHOESTOCK
B1. Alimentacao-Drogaria-Vet:Mercado-Padaria-Vinhos|Mambo Supermercado|SUPERMERCADOS MAMBO 1.
B1. Alimentacao-Drogaria-Vet:Mercado-Padaria-Vinhos|Supermercado|MILANO COMERCIO VAREJI
B. Outras Receitas:Ajustes|Outros|PUKET
C1. Lazer-Estetica-Vestuario-Celular:Vestuario Eduardo-Carla|Outros|FASCAR-SHOP.ELDORA
G. Reembolsaveis:Medicos-Clinicas-Exames|Outros|VACICLIN 
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|RICONCITO PERUANO
B1. Alimentacao-Drogaria-Vet:Mercado-Padaria-Vinhos|Supermercado|CARREFOUR 39 OSC-OSASC
F. Automoveis:Manutencao-Revisao Auto|Outros|MAZZOCHI AUTO SERVICOS
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|FRIENDS
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|JULLIETHA BISTRO CAFE
E2. Extraordinarias (One Time):Outras|Outros|DTMK COMERCIO
E1. Extraordinarias (Ongoing):Taxi-Estacionamento|Taxi|NZ LOG LOGISTICA
E1. Extraordinarias (Ongoing):Presentes|Outros|ANACAPRI MORUMBI 
C1. Lazer-Estetica-Vestuario-Celular:Vestuario Eduardo-Carla|CORELLO|CORELLO MORUMBI 
E1. Extraordinarias (Ongoing):Presentes|Fast Shop|FAST SHOP VL GERTR
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|MADERO MORUMBI
C1. Lazer-Estetica-Vestuario-Celular:Restaurantes|Restaurantes|STARBUCKS USD 6.21
C1. Lazer-Estetica-Vestuario-Celular:Vestuario Eduardo-Carla|Zara|ZARA USD 127.36
